主线用随机关卡,,波次1,,波次2,,波次3,,波次4（精英）,,波次5（Boss）,,占位符
关卡ID,关卡名称,PatternName,Level,PatternName,Level,PatternName,Level,PatternName,Level,PatternName,Level,占位符
lawaias233.ark_Zhyd_Zhuxian_1,整合运动1,lawaias233.ark_zhyd_2_1,0,lawaias233.ark_zhyd_2_1,,lawaias233.ark_zhyd_2_1,,lawaias233.ark_zhyd_2_1,,lawaias233.ark_zhyd_2_1,,占位符
lawaias233.ark_Zhyd_Zhuxian_2,整合运动2,lawaias233.ark_zhyd_2_1,2,lawaias233.ark_zhyd_3_1,,lawaias233.ark_zhyd_3_2,,lawaias233.ark_zhyd_2_1,,lawaias233.ark_zhyd_3_1,,占位符
lawaias233.ark_Zhyd_Zhuxian_3,整合运动3,lawaias233.ark_zhyd_3_1,5,lawaias233.ark_zhyd_3_2,,lawaias233.ark_zhyd_3_1,,lawaias233.ark_zhyd_3_1,,lawaias233.ark_zhyd_3_2,,占位符
lawaias233.ark_Zhyd_Zhuxian_4,整合运动4,lawaias233.ark_zhyd_3_1,8,lawaias233.ark_zhyd_3_2,,lawaias233.ark_zhyd_3_1,,lawaias233.ark_zhyd_3_1,,lawaias233.ark_zhyd_5_2,,占位符
lawaias233.ark_Zhyd_Zhuxian_5,整合运动5,lawaias233.ark_zhyd_3_1,12,lawaias233.ark_zhyd_3_2,,lawaias233.ark_zhyd_5_3,,lawaias233.ark_zhyd_5_1,,lawaias233.ark_zhyd_5_2,,占位符
lawaias233.ark_Zhyd_Zhuxian_6,整合运动6,lawaias233.ark_zhyd_3_1,17,lawaias233.ark_zhyd_3_2,,lawaias233.ark_zhyd_5_3,,lawaias233.ark_zhyd_5_1,,lawaias233.ark_zhyd_5_2,,占位符
lawaias233.ark_Zhyd_Zhuxian_7,整合运动7,lawaias233.ark_zhyd_5_1,22,lawaias233.ark_zhyd_3_2,,lawaias233.ark_zhyd_5_3,,lawaias233.ark_zhyd_5_1,,lawaias233.ark_zhyd_5_2,,占位符
lawaias233.ark_Zhyd_Zhuxian_8,整合运动8,lawaias233.ark_zhyd_5_1,27,lawaias233.ark_zhyd_5_2,,lawaias233.ark_zhyd_5_3,,lawaias233.ark_zhyd_5_1,,lawaias233.ark_zhyd_5_2,,占位符
lawaias233.ark_Zhyd_Zhuxian_9,整合运动9,lawaias233.ark_zhyd_5_1,33,lawaias233.ark_zhyd_5_2,,lawaias233.ark_zhyd_5_3,,lawaias233.ark_zhyd_5_1,,lawaias233.ark_zhyd_5_3,,占位符
lawaias233.ark_Zhyd_Zhuxian_10,整合运动10,lawaias233.ark_zhyd_5_1,40,lawaias233.ark_zhyd_5_2,,lawaias233.ark_zhyd_5_3,,lawaias233.ark_zhyd_5_1,,lawaias233.ark_zhyd_5_3,,占位符
lawaias233.ark_Zhyd_Zhuxian_11,整合运动11,lawaias233.ark_zhyd_5_1,48,lawaias233.ark_zhyd_5_2,,lawaias233.ark_zhyd_5_3,,lawaias233.ark_zhyd_5_1,,lawaias233.ark_zhyd_5_3,,占位符
lawaias233.ark_Zhyd_Zhuxian_12,整合运动12,lawaias233.ark_zhyd_5_1,57,lawaias233.ark_zhyd_5_2,,lawaias233.ark_zhyd_5_3,,lawaias233.ark_zhyd_5_1,,lawaias233.ark_zhyd_5_3,,占位符
lawaias233.ark_Zhyd_Zhuxian_13,整合运动13,lawaias233.ark_zhyd_5_1,66,lawaias233.ark_zhyd_5_2,,lawaias233.ark_zhyd_5_3,,lawaias233.ark_zhyd_5_1,,lawaias233.ark_zhyd_5_1,,占位符
lawaias233.ark_Zhyd_Zhuxian_14,整合运动14,lawaias233.ark_zhyd_5_1,75,lawaias233.ark_zhyd_5_2,,lawaias233.ark_zhyd_5_3,,lawaias233.ark_zhyd_5x_1,,lawaias233.ark_zhyd_5_2,,占位符
lawaias233.ark_Zhyd_Zhuxian_15,整合运动15,lawaias233.ark_zhyd_5_1,85,lawaias233.ark_zhyd_5_2,,lawaias233.ark_zhyd_5_3,,lawaias233.ark_zhyd_5x_1,,lawaias233.ark_zhyd_5x_2,,占位符
lawaias233.ark_Zhyd_Equip_1_1,方舟装备1_1,lawaias233.ark_zhyd_equip_1,5,,,,,,,,,占位符
lawaias233.ark_Zhyd_Equip_1_2,方舟装备1_2,lawaias233.ark_zhyd_equip_1,15,,,,,,,,,占位符
lawaias233.ark_Zhyd_Equip_1_3,方舟装备1_3,lawaias233.ark_zhyd_equip_1,35,,,,,,,,,占位符
lawaias233.ark_Zhyd_Equip_1_4,方舟装备1_4,lawaias233.ark_zhyd_equip_1,55,,,,,,,,,占位符
lawaias233.ark_Zhyd_Equip_1_5,方舟装备1_5,lawaias233.ark_zhyd_equip_1,85,,,,,,,,,占位符
lawaias233.ark_Zhyd_Equip_2_1,方舟装备2_1,lawaias233.ark_zhyd_equip_2,5,,,,,,,,,占位符
lawaias233.ark_Zhyd_Equip_2_2,方舟装备2_2,lawaias233.ark_zhyd_equip_2,15,,,,,,,,,占位符
lawaias233.ark_Zhyd_Equip_2_3,方舟装备2_3,lawaias233.ark_zhyd_equip_2,35,,,,,,,,,占位符
lawaias233.ark_Zhyd_Equip_2_4,方舟装备2_4,lawaias233.ark_zhyd_equip_2,55,,,,,,,,,占位符
lawaias233.ark_Zhyd_Equip_2_5,方舟装备2_5,lawaias233.ark_zhyd_equip_2,85,,,,,,,,,占位符
lawaias233.ark_Zhyd_Equip_3_1,方舟装备3_1,lawaias233.ark_zhyd_equip_3,5,,,,,,,,,占位符
lawaias233.ark_Zhyd_Equip_3_2,方舟装备3_2,lawaias233.ark_zhyd_equip_3,15,,,,,,,,,占位符
lawaias233.ark_Zhyd_Equip_3_3,方舟装备3_3,lawaias233.ark_zhyd_equip_3,35,,,,,,,,,占位符
lawaias233.ark_Zhyd_Equip_3_4,方舟装备3_4,lawaias233.ark_zhyd_equip_3,55,,,,,,,,,占位符
lawaias233.ark_Zhyd_Equip_3_5,方舟装备3_5,lawaias233.ark_zhyd_equip_3,85,,,,,,,,,占位符
lawaias233.ark_Zhyd_Break_1_1,方舟素材1,lawaias233.ark_zhyd_3_1,2,lawaias233.ark_zhyd_5_2,3,,,,,,,占位符
lawaias233.ark_Zhyd_Break_1_2,方舟素材2,lawaias233.ark_zhyd_3_1,8,lawaias233.ark_zhyd_5_2,12,,,,,,,占位符
lawaias233.ark_Zhyd_Break_1_3,方舟素材3,lawaias233.ark_zhyd_3_1,20,lawaias233.ark_zhyd_5_2,25,,,,,,,占位符
lawaias233.ark_Zhyd_Break_1_4,方舟素材4,lawaias233.ark_zhyd_3_1,35,lawaias233.ark_zhyd_5_2,45,,,,,,,占位符
lawaias233.ark_Zhyd_Break_1_5,方舟素材5,lawaias233.ark_zhyd_3_1,60,lawaias233.ark_zhyd_5_2,70,,,,,,,占位符
